   n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 483,           ,             ,            ,         57196,           56720,          97738,     7123,       3872,      6981,      7329,        1356,      20944
 484,           ,             ,            ,         57220,           56743,          99760,     7137,       3884,      5983,      7495,        1349,      20923
 485,           ,             ,            ,         57395,           56917,          97739,     7149,       3883,      6980,      7480,        1363,      20944
 486,           ,             ,            ,         57517,           57038,          99732,     7162,       3896,      6981,      7361,        1352,      21940
 487,           ,             ,            ,         57601,           57121,          97738,     7184,       3914,      5984,      7447,        1365,      20946
 488,           ,             ,            ,         57607,           57126,          97737,     7203,       3930,      6982,      7815,        1356,      20944
 489,           ,             ,            ,         57824,           57342,          99733,     7245,       3934,      6981,      7745,        1354,      20942
 490,           ,             ,            ,         57908,           57425,          99733,     7251,       3955,      6981,      7247,        1378,      20944
 491,           ,             ,            ,         58281,           57797,          98768,     7261,       3960,      6935,      7230,        1380,      21940
 492,           ,             ,            ,         58762,           58277,         101727,     7290,       3977,      6981,      7838,        1404,      21940
 493,           ,             ,            ,              ,                ,               ,     7304,       3975,      6980,      7707,        1383,      21942
 494,           ,             ,            ,              ,                ,               ,     7323,       3997,      7009,      7228,        1388,      20944
 495,           ,             ,            ,              ,                ,               ,     7331,       3994,      7003,      7319,        1408,      21914
 496,           ,             ,            ,              ,                ,               ,     7376,       4017,      6981,      7344,        1367,      21942
 497,           ,             ,            ,              ,                ,               ,     7375,       4020,      6981,      7413,        1428,      21940
 498,           ,             ,            ,              ,                ,               ,     7384,       4034,      6982,      7222,        1434,      21970
 499,           ,             ,            ,              ,                ,               ,     7405,       4034,      6998,      7458,        1401,      21966
 500,           ,             ,            ,              ,                ,               ,     7419,       4038,      6981,      7746,        1422,      22938
 501,           ,             ,            ,              ,                ,               ,     7464,       4064,      6981,      7881,        1423,      22938
 502,           ,             ,            ,              ,                ,               ,     7470,       4067,      6981,      8389,        1388,      22970
 503,           ,             ,            ,              ,                ,               ,     7499,       4089,      6969,      7691,        1412,      21909
 504,           ,             ,            ,              ,                ,               ,     7503,       4088,      6982,      7418,        1433,      21940
 505,           ,             ,            ,              ,                ,               ,     7532,       4102,      6982,      7479,        1435,      21942
 506,           ,             ,            ,              ,                ,               ,     7540,       4099,      6981,      7970,        1419,      21918
 507,           ,             ,            ,              ,                ,               ,     7540,       4107,      6981,      7507,        1420,      21941
 508,           ,             ,            ,              ,                ,               ,     7565,       4121,      6976,      7843,        1428,      22925
 509,           ,             ,            ,              ,                ,               ,     7607,       4138,      8014,      8051,        1431,      22902
 510,           ,             ,            ,              ,                ,               ,     7609,       4141,      7977,      8039,        1455,      22950
 511,           ,             ,            ,              ,                ,               ,     7613,       4142,      6969,      8415,        1436,      21941
 512,           ,             ,            ,              ,                ,               ,     7660,       4190,      6981,      7806,        1437,      22938
 513,           ,             ,            ,              ,                ,               ,     7676,       4183,      6981,      8128,        1411,      21940
 514,           ,             ,            ,              ,                ,               ,     7691,       4183,      6981,      8266,        1451,      23935
 515,           ,             ,            ,              ,                ,               ,     7712,       4197,      6961,      8270,        1448,      24933
 516,           ,             ,            ,              ,                ,               ,     7728,       4203,      6981,      8173,        1458,      24933
 517,           ,             ,            ,              ,                ,               ,     7740,       4199,      7979,      7785,        1458,      22938
 518,           ,             ,            ,              ,                ,               ,     7763,       4211,      7977,      7797,        1457,      23936
 519,           ,             ,            ,              ,                ,               ,     7771,       4217,      6981,      7868,        1471,      23936
 520,           ,             ,            ,              ,                ,               ,     7791,       4235,      6981,      8541,        1449,      22941
 521,           ,             ,            ,              ,                ,               ,     7795,       4248,      7978,      8253,        1483,      23921
 522,           ,             ,            ,              ,                ,               ,     7833,       4262,      7978,      8103,        1484,      23959
 523,           ,             ,            ,              ,                ,               ,     7837,       4264,      6994,      8087,        1470,      23961
 524,           ,             ,            ,              ,                ,               ,     7868,       4281,      6974,      8634,        1460,      24934
 525,           ,             ,            ,              ,                ,               ,     7878,       4289,      7011,      8643,        1470,      23976
 526,           ,             ,            ,              ,                ,               ,     7906,       4315,      7939,      8069,        1479,      23935
 527,           ,             ,            ,              ,                ,               ,     7903,       4298,      7977,      8703,        1464,      23935
 528,           ,             ,            ,              ,                ,               ,     7945,       4317,      6992,      7903,        1539,      24922
 529,           ,             ,            ,              ,                ,               ,     7969,       4331,      7979,      7962,        1540,      23936
 530,           ,             ,            ,              ,                ,               ,     7982,       4343,      6979,      8123,        1533,      23920
 531,           ,             ,            ,              ,                ,               ,     7989,       4329,      7950,      8284,        1509,      23935
 532,           ,             ,            ,              ,                ,               ,     8013,       4365,      8000,      8123,        1523,      24939
 533,           ,             ,            ,              ,                ,               ,     8030,       4374,      7972,      7961,        1530,      24931
 534,           ,             ,            ,              ,                ,               ,     8048,       4385,      7978,      8150,        1531,      24935
 535,           ,             ,            ,              ,                ,               ,     8065,       4399,      7989,      8558,        1510,      23934
 536,           ,             ,            ,              ,                ,               ,     8075,       4390,      7978,      8270,        1522,      23937
 537,           ,             ,            ,              ,                ,               ,     8110,       4414,      7979,      8308,        1532,      23935
 538,           ,             ,            ,              ,                ,               ,     8134,       4426,      8974,      8263,        1546,      23937
 539,           ,             ,            ,              ,                ,               ,     8152,       4442,      7976,      8506,        1535,      24934
 540,           ,             ,            ,              ,                ,               ,     8167,       4444,      7978,      8272,        1563,      25930
 541,           ,             ,            ,              ,                ,               ,     8167,       4450,      7979,      8380,        1558,      25929
 542,           ,             ,            ,              ,                ,               ,     8208,       4465,      7978,      8521,        1562,      23937
 543,           ,             ,            ,              ,                ,               ,     8232,       4483,      6981,      8723,        1550,      24933
