    n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  246,      30135,        16590,       38940,              ,                ,               ,     3138,       1730,      3946,      3321,         655,       6979
  247,      30381,        16595,       40892,              ,                ,               ,     3151,       1743,      2990,      3320,         657,       5984
  248,      30628,        16710,       37898,              ,                ,               ,     3166,       1742,      2992,      3350,         650,       6987
  249,      30876,        16892,       38888,              ,                ,               ,     3186,       1758,      3016,      3315,         664,       6958
  250,      31125,        17045,       38897,              ,                ,               ,     3205,       1767,      2991,      3201,         661,       7977
  251,      31375,        17053,       39894,              ,                ,               ,     3227,       1783,      2991,      3260,         668,       6982
  252,      31626,        17243,       40891,              ,                ,               ,     3236,       1777,      2991,      3339,         666,       6982
  253,      31878,        17254,       41904,              ,                ,               ,     3250,       1786,      3973,      3328,         682,       6985
  254,      32131,        17383,       41886,              ,                ,               ,     3257,       1787,      2991,      3348,         665,       6982
  255,      32385,        17572,       41917,              ,                ,               ,     3282,       1804,      2968,      3297,         678,       6975
  256,      32640,        17785,       41888,              ,                ,               ,     3300,       1811,      2992,      3458,         680,       6980
  257,      32896,        17851,       39892,              ,                ,               ,     3320,       1825,      3988,      3412,         691,       7978
  258,      33153,        18075,       43883,              ,                ,               ,     3334,       1833,      3990,      3407,         676,       7978
  259,      33411,        18205,       41886,              ,                ,               ,     3360,       1843,      3003,      3433,         685,       6971
  260,      33670,        18234,       42884,              ,                ,               ,     3365,       1852,      2992,      3679,         682,       7978
  261,      33930,        18237,       42885,              ,                ,               ,     3385,       1859,      3006,      3699,         685,       6980
  262,      34191,        18356,       42885,              ,                ,               ,     3400,       1868,      3988,      3598,         697,       7978
  263,      34453,        18395,       43882,              ,                ,               ,     3405,       1875,      2992,      3585,         673,       6991
  264,      34716,        18444,       45877,              ,                ,               ,     3427,       1884,      3004,      3675,         686,       8963
  265,      34980,        18465,       46875,              ,                ,               ,     3445,       1899,      3989,      3675,         694,       7977
  266,      35245,        18482,       44880,              ,                ,               ,     3468,       1910,      3989,      3576,         712,       7977
  267,      35511,        18505,       46873,              ,                ,               ,     3475,       1915,      2991,      3576,         712,       7980
  268,      35778,        18684,       44879,              ,                ,               ,     3484,       1916,      2992,      3704,         715,       7978
  269,      36046,        18870,       44885,              ,                ,               ,     3503,       1922,      3991,      3510,         712,       6975
  270,      36315,        19138,       46875,              ,                ,               ,     3518,       1930,      2991,      3488,         721,       8976
  271,      36585,        19139,       49867,              ,                ,               ,     3546,       1951,      2991,      3797,         713,       8974
  272,      36856,        19173,       47882,              ,                ,               ,     3558,       1951,      3990,      3784,         730,       7978
  273,      37128,        19423,       48867,              ,                ,               ,     3579,       1969,      3990,      3636,         719,       8977
  274,      37401,        19673,       47880,              ,                ,               ,     3601,       1991,      2991,      3854,         736,       7979
  275,      37675,        19798,       45877,              ,                ,               ,     3607,       1980,      4024,      3702,         731,       7942
  276,      37950,        20010,       46874,              ,                ,               ,     3617,       1988,      2993,      3643,         759,       6991
